,Title,Episode,Line
277,Departure x And x Friends,1,To follow in his father's footsteps \Nand become a Hunter.
278,Departure x And x Friends,1,Next time: Test x Of x Tests.
279,Departure x And x Friends,1,Look forward to it!
280,Test x Of x Tests.,2,Fearsome monsters... Exotic creatures...
281,Test x Of x Tests.,2,Vast riches... Hidden treasures...
282,Test x Of x Tests.,2,Evil enclaves... Unexplored lands...
283,Test x Of x Tests.,2,"The word ""unknown"" holds magic."
284,Test x Of x Tests.,2,And some incredible people are \Ndrawn to that magic.
285,Test x Of x Tests.,2,They are known...
286,Test x Of x Tests.,2,...as Hunters!
287,Test x Of x Tests.,2,Okay!
288,Test x Of x Tests.,2,I'll take responsibility for bringing you three to the port closest to the exam site.
289,Test x Of x Tests.,2,Yay!
290,Test x Of x Tests.,2,Test x Of x Tests
291,Test x Of x Tests.,2,Dolle Harbor
292,Test x Of x Tests.,2,"After winning the captain's favor, the trio of Gon, Kurapika, and Leorio arrived safely at Dolle Harbor."
293,Test x Of x Tests.,2,"Thanks, Captain!"
294,Test x Of x Tests.,2,I had a great time!
295,Test x Of x Tests.,2,"I had fun, too."
296,Test x Of x Tests.,2,"Right! As a token of my appreciation,"
297,Test x Of x Tests.,2,I'll give you some advice.
298,Test x Of x Tests.,2,Advice?
299,Test x Of x Tests.,2,Look. See that big cedar tree on the hilltop?
300,Test x Of x Tests.,2,Uh-huh.
301,Test x Of x Tests.,2,You should make your way there first.
302,Test x Of x Tests.,2,It's a shortcut to the exam site.
303,Test x Of x Tests.,2,A shortcut?
304,Test x Of x Tests.,2,Got it!
305,Test x Of x Tests.,2,"So, I just need to head for that tree!"
306,Test x Of x Tests.,2,"I'll do that, Captain!"
307,Test x Of x Tests.,2,Thanks!
308,Test x Of x Tests.,2,Best of luck!
309,Test x Of x Tests.,2,Yep! Same to you!
310,Test x Of x Tests.,2,Take care!
311,Test x Of x Tests.,2,"Rest easy, Ging."
312,Test x Of x Tests.,2,Your son has grown into a respectable young man.
313,Test x Of x Tests.,2,Huh... That's strange.
314,Test x Of x Tests.,2,Why?
315,Test x Of x Tests.,2,"According to the notice I received, the exam is supposedly being held \Nsomewhere in Zaban City."
316,Test x Of x Tests.,2,"Right now, we're here."
317,Test x Of x Tests.,2,That tree is in the opposite direction.
318,Test x Of x Tests.,2,Perhaps you misheard him?
319,Test x Of x Tests.,2,"No, he told me to head toward that cedar tree."
320,Test x Of x Tests.,2,I see...
321,Test x Of x Tests.,2,And this notice isn't any help!
322,Test x Of x Tests.,2,"Where, exactly, in Zaban City \Nare we meant to go?"
323,Test x Of x Tests.,2,"Our task is to find the exam site, \Nusing a limited amount of information."
324,Test x Of x Tests.,2,Just another test before we'll be allowed \Nto take the Hunter Exam.
325,Test x Of x Tests.,2,I-I knew that...
326,Test x Of x Tests.,2,I already knew that!
327,Test x Of x Tests.,2,"Anyway, I'll go have a look."
328,Test x Of x Tests.,2,The captain must have had \Na reason to suggest that.
329,Test x Of x Tests.,2,"Hey, hey..."
330,Test x Of x Tests.,2,You're serious?
331,Test x Of x Tests.,2,The bus to Zaban is about to leave.
332,Test x Of x Tests.,2,We should just take it.
333,Test x Of x Tests.,2,Hey!
334,Test x Of x Tests.,2,Man...
335,Test x Of x Tests.,2,He's gotta learn that you \Ncan't trust everyone.
336,Test x Of x Tests.,2,Huh?
337,Test x Of x Tests.,2,Hey!
338,Test x Of x Tests.,2,Kurapika!
339,Test x Of x Tests.,2,Gon's behavior interests me more \Nthan the captain's advice.
340,Test x Of x Tests.,2,I'm going with him.
341,Test x Of x Tests.,2,"Oh, is that so?"
342,Test x Of x Tests.,2,See ya.
343,Test x Of x Tests.,2,Wasn't very long... Nice knowing you.
344,Test x Of x Tests.,2,Guess he's not as independent as I'd thought...
345,Test x Of x Tests.,2,I'm just gonna take the bus!
346,Test x Of x Tests.,2,So it was a trap...
347,Test x Of x Tests.,2,Seems none of the buses have \Nmade it to Zaban City.
348,Test x Of x Tests.,2,Rookies usually fail this part \Nbecause they're too naïve.
349,Test x Of x Tests.,2,"Wait, wait, wait!"
350,Test x Of x Tests.,2,Wait for me!
351,Test x Of x Tests.,2,"Well, I knew you guys would \Nbe lonely without me."
352,Test x Of x Tests.,2,And it's no fun traveling alone.
353,Test x Of x Tests.,2,So I decided to stick with you \Nguys a while longer.
354,Test x Of x Tests.,2,This is a creepy place...
355,Test x Of x Tests.,2,I don't see a single person.
356,Test x Of x Tests.,2,"No, there are plenty here."
357,Test x Of x Tests.,2,What?
358,Test x Of x Tests.,2,Wh-What's with the freak show?
359,Test x Of x Tests.,2,Exciting...
360,Test x Of x Tests.,2,E-Exciting?
361,Test x Of x Tests.,2,Exciting...
362,Test x Of x Tests.,2,Exciting.
363,Test x Of x Tests.,2,Exciting two-choice quiz!
364,Test x Of x Tests.,2,"You boys are headed for that \Ntree on the hill, correct?"
365,Test x Of x Tests.,2,"To reach that tree, you must pass through this town."
366,Test x Of x Tests.,2,Huh?
367,Test x Of x Tests.,2,I shall administer a single-question quiz.
368,Test x Of x Tests.,2,H-Hold on!
369,Test x Of x Tests.,2,What's going on here?
370,Test x Of x Tests.,2,You'll have five seconds to state your answer.
371,Test x Of x Tests.,2,"Give the wrong answer, and you're disqualified."
372,Test x Of x Tests.,2,You'll have to give up on taking \Nthis year's Hunter Exam.
373,Test x Of x Tests.,2,I see...
374,Test x Of x Tests.,2,Then this is part of the Hunter Exam.
375,Test x Of x Tests.,2,I see how it is.
376,Test x Of x Tests.,2,I happen to be a quiz expert.
377,Test x Of x Tests.,2,Wait. Only one question?
378,Test x Of x Tests.,2,Your answer will be either the number 1 or 2.
379,Test x Of x Tests.,2,Any other answer will be considered incorrect.
380,Test x Of x Tests.,2,Hold on!
381,Test x Of x Tests.,2,All three of us share one question?
382,Test x Of x Tests.,2,"So if one of them answers incorrectly, \NI'm disqualified, too?"
383,Test x Of x Tests.,2,As if that would happen!
384,Test x Of x Tests.,2,What scares me is the high likelihood \Nof the vice versa happening.
385,Test x Of x Tests.,2,What was that?
386,Test x Of x Tests.,2,But you know...
387,Test x Of x Tests.,2,"This way's easier, since only one of us \Nneeds to know the answer."
388,Test x Of x Tests.,2,I'm not good at quizzes.
389,Test x Of x Tests.,2,I suppose...
390,Test x Of x Tests.,2,Fair point.
391,Test x Of x Tests.,2,"Hey, there. Hurry it up."
392,Test x Of x Tests.,2,Or else I'll answer the question first.
393,Test x Of x Tests.,2,Who are you?
394,Test x Of x Tests.,2,"He followed us here, all the way from port."
395,Test x Of x Tests.,2,Huh? Seriously?
396,Test x Of x Tests.,2,"Sorry, kid."
397,Test x Of x Tests.,2,I happened to overhear your conversation.
398,Test x Of x Tests.,2,What will you do?
399,Test x Of x Tests.,2,He seems eager to take it.
400,Test x Of x Tests.,2,We should let him go first.
401,Test x Of x Tests.,2,"That way, we'll know what kind \Nof question to expect."
402,Test x Of x Tests.,2,I don't mind.
403,Test x Of x Tests.,2,I have no objection.
404,Test x Of x Tests.,2,Then I'll get to it.
405,Test x Of x Tests.,2,Fools.
406,Test x Of x Tests.,2,I'll leave a trail of traps behind me.
407,Test x Of x Tests.,2,Here is your question...
408,Test x Of x Tests.,2,Evil villains have captured your mother and lover.
409,Test x Of x Tests.,2,You can only save one.
410,Test x Of x Tests.,2,"Select 1 for your mother, or 2 for your lover."
411,Test x Of x Tests.,2,Which will you save?
412,Test x Of x Tests.,2,H-How is this even a quiz?
413,Test x Of x Tests.,2,The answer is 1.
414,Test x Of x Tests.,2,Oh? Why do you say that?
415,Test x Of x Tests.,2,Because you can't replace your mother.
416,Test x Of x Tests.,2,But you can find another lover.
417,Test x Of x Tests.,2,What?
418,Test x Of x Tests.,2,You may pass.
419,Test x Of x Tests.,2,What?
420,Test x Of x Tests.,2,You just have to tell the old lady \Nwhat she wants to hear.
421,Test x Of x Tests.,2,Adios.
422,Test x Of x Tests.,2,"Hey, now! That's all bull!"
423,Test x Of x Tests.,2,How was that the right answer?
424,Test x Of x Tests.,2,We're supposed to give the answer \Nthe old lady wants?
425,Test x Of x Tests.,2,And that's considered correct?
426,Test x Of x Tests.,2,"Hey, say something!"
427,Test x Of x Tests.,2,I won't put up with this sham.
428,Test x Of x Tests.,2,I'll find a different route.
429,Test x Of x Tests.,2,It's too late.
430,Test x Of x Tests.,2,"Refuse to take the quiz, and you're disqualified."
431,Test x Of x Tests.,2,Th-That's just ridiculous!
432,Test x Of x Tests.,2,Different people would expect different answers!
433,Test x Of x Tests.,2,There is no right answer!
434,Test x Of x Tests.,2,No right answer...
435,Test x Of x Tests.,2,I see!
436,Test x Of x Tests.,2,Leorio!
437,Test x Of x Tests.,2,Wait!
438,Test x Of x Tests.,2,The cat-eyed boy has figured it out.
439,Test x Of x Tests.,2,Not another word from you.
440,Test x Of x Tests.,2,"Say anything but the answer, and you're immediately disqualified."
441,Test x Of x Tests.,2,"Wake up, Leorio..."
442,Test x Of x Tests.,2,It's a simple trick...
443,Test x Of x Tests.,2,Gon...
444,Test x Of x Tests.,2,Here is your question...
445,Test x Of x Tests.,2,Your son and daughter have been kidnapped.
446,Test x Of x Tests.,2,You can only rescue one.
447,Test x Of x Tests.,2,"Select 1 for your son, or 2 for your daughter."
448,Test x Of x Tests.,2,Which will you rescue?
449,Test x Of x Tests.,2,She's making fun of us...
450,Test x Of x Tests.,2,Five.
451,Test x Of x Tests.,2,"Go ahead and count down, you hag."
452,Test x Of x Tests.,2,Four.
453,Test x Of x Tests.,2,Three.
454,Test x Of x Tests.,2,Two.
455,Test x Of x Tests.,2,One.
456,Test x Of x Tests.,2,Buzz. Time's up.
457,Test x Of x Tests.,2,"Don't stop me, Kurapika!"
458,Test x Of x Tests.,2,I won't be satisfied until I've \Ntaught this hag a lesson!
459,Test x Of x Tests.,2,"Calm down, Leorio!"
460,Test x Of x Tests.,2,How am I supposed to calm down?
461,Test x Of x Tests.,2,You'll waste our correct response.
462,Test x Of x Tests.,2,Correct response?
463,Test x Of x Tests.,2,We gave the right answer.
464,Test x Of x Tests.,2,Silence was the correct response.
465,Test x Of x Tests.,2,Silence? What do you mean...
466,Test x Of x Tests.,2,You hit the nail on the head.
467,Test x Of x Tests.,2,There is no right answer!
468,Test x Of x Tests.,2,Precisely.
469,Test x Of x Tests.,2,This quiz had no right answer.
470,Test x Of x Tests.,2,"However, we could only state \N1 or 2 as the answer."
